Albania,&#127462 &#127473,,,,,,,,,
Armenia,&#127462 &#127474,,,,,,,,,
Austria,&#127462 &#127481,,,,,,,,,
Azerbaijan,&#127462 &#127487,,,,,,,,,
Belgium,&#127463 &#127466,,,,,,,,,
Bulgaria,&#127463 &#127468,,,,,,,,,
Belarus,&#127463 &#127486,,,,,,,,,
Switzerland,&#127464 &#127469,,,,,,,,,
Bosnia Herzegovina,&#127463 &#127462,,,,,,,,,
Czech Republic,&#127464 &#127487,,,,,,,,,
North Macedonia,&#127474 &#127472,,,,,,,,,
Republic of Moldova,&#127474 &#127465,,,,,,,,,
Cyprus,&#127464 &#127486,,,,,,,,,
Germany,&#127465 &#127466,,,,,,,,,
Denmark,&#127465 &#127472,,,,,,,,,
Estonia,&#127466 &#127466,,,,,,,,,
Spain,&#127466 &#127480,,,,,,,,,
Finland,&#127467 &#127470,,,,,,,,,
France,&#127467 &#127479,,,,,,,,,
United Kingdom,&#127468 &#127463,,,,,,,,,
Georgia,&#127468 &#127466,,,,,,,,,
Greece,&#127468 &#127479,,,,,,,,,
Croatia,&#127469 &#127479,,,,,,,,,
Hungary,&#127469 &#127482,,,,,,,,,
Ireland,&#127470 &#127466,,,,,,,,,
Italy,&#127470 &#127481,,,,,,,,,
Lithuania,&#127473 &#127481,,,,,,,,,
Luxembourg,&#127473 &#127482,,,,,,,,,
Latvia,&#127473 &#127483,,,,,,,,,
Montenegro,&#127474 &#127466,,,,,,,,,
Malta,&#127474 &#127481,,,,,,,,,
Netherlands,&#127475 &#127473,,,,,,,,,
Norway,&#127475 &#127476,,,,,,,,,
Poland,&#127477 &#127473,,,,,,,,,
Portugal,&#127477 &#127481,,,,,,,,,
Romania,&#127479 &#127476,,,,,,,,,
Serbia,&#127479 &#127480,,,,,,,,,
Russia,&#127479 &#127482,,,,,,,,,
Sweden,&#127480 &#127466,,,,,,,,,
Slovenia,&#127480 &#127470,,,,,,,,,
Slovakia,&#127480 &#127472,,,,,,,,,
Turkey,&#127481 &#127479,,,,,,,,,
Ukraine,&#127482 &#127462,,,,,,,,,
Kosovo,&#127485 &#127472,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
